id,name,unit,special_id,view,is_active,city_id,city_name,district_id,district_name,ward_id,ward_name,address_line_2,color,created_at,updated_at,price,display_price,min_price,max_price,note,editor,price_temp,display_price_temp,editor_temp,note_temp,city_id_temp,district_id_temp,min_price_temp,max_price_temp,date,datetime
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,545000,545000,0379630054,,87,,535000,555000,16/11,16/11/2023 10:49
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,545000,545000,0379630054,,87,,535000,555000,15/11,15/11/2023 11:39
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,15/11,15/11/2023 11:15
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,14/11,14/11/2023 11:35
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,13/11,13/11/2023 12:27
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,12/11,12/11/2023 11:51
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,11/11,11/11/2023 13:44
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,10/11,10/11/2023 10:23
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,08/11,08/11/2023 11:07
9713,URÊ PHÚ MỸ,BAO,2,1.0,1,87, Đồng Tháp,,,,,,#000000,16/11/2023 10:49,16/11/2023 10:49,545000,545000,535000,555000,,0379630054,575000,575000,0379630054,,87,,565000,585000,07/11,07/11/2023 11:51
